"",,,,"Total population (1000 inhab)",,,,"Population density (inhab/km2)",,,,"GDP per capita (current US$/inhab)",,,,"Agriculture, value added to GDP (current US$)",,,,"Industry, value added to GDP (current US$)",,,,"Services, value added to GDP (current US$)",,,,"Total internal renewable water resources per capita (m3/inhab/yr)",,,,"Total renewable water resources (10^9 m3/yr)",,,,"Agricultural water withdrawal (10^9 m3/year)",,,,"Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,,"Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,,"Total water withdrawal (10^9 m3/yr)",,,,"Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",,,,"Total freshwater withdrawal (10^9 m3/yr)",,,,"SDG 6.4.2. Water Stress (%)",,,,"SDG 6.4.1. Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Services Water Use Efficiency (US$/m3)",,,,"Total population with access to safe drinking-water (JMP) (%)",,,,"Rural population with access to safe drinking-water (JMP) (%)",,,,"Urban population with access to safe drinking-water (JMP) (%)",,
"2018-2022","Congo","Africa | Sub-Saharan Africa | Central Africa",2018,5244.359,"X",,2018,15.3343830409,"E",,2018,2624.715541,"X",,2018,1.383825719E9,"X",,2018,5.414977471E9,"X",,2018,6.593543182E9,"X",,2018,42331.198150241,"E",,2018,832.0,"E",,2018,0.004,"I",,2018,0.024,"I",,2018,0.0637,"I",,2018,0.0917,"E",,2018,17.4854543711,"E",,2018,0.046,"I",,2018,0.0274463007,"E",,2018,92.5389697768,"I",,2018,0.2438596851,"E",,2018,159.4189609844,"E",,2018,73.1364682286,"E",,2018,76.5,"I",,2018,40.0,"I",,2018,95.8,"I",
"2018-2022","Democratic Republic of the Congo","Africa | Sub-Saharan Africa | Central Africa",2018,84068.091,"X",,2018,35.8520726184,"E",,2018,561.228616,"X",,2018,9.034013366E9,"X",,2018,1.8381421692E10,"X",,2018,1.7808785686E10,"X",,2018,10705.607672238,"E",,2018,1283.0,"E",,2018,0.0719,"I",,2018,0.1468,"I",,2018,0.4649,"I",,2018,0.6836,"I",,2018,8.131503783,"E",,2018,0.6836,"I",,2018,0.2268835048,"E",,2018,47.8500753043,"I",,2018,0.2033330084,"E",,2018,113.1234137607,"E",,2018,34.6078182289,"E",,2018,52.4,"I",,2018,31.2,"I",,2018,81.1,"I",
"2018-2022","Equatorial Guinea","Africa | Sub-Saharan Africa | Central Africa",2018,1308.975,"X",,2018,46.6657754011,"E",,2018,10141.120341,"X",,2018,3.11389149E8,"X",,2018,7.484975261E9,"X",,2018,5.499756014E9,"X",,2018,19862.8698027082,"E",,2018,26.0,"E",,2018,0.001,"I",,2018,0.003,"I",,2018,0.0158,"I",,2018,0.0198,"E",,2018,15.1263393113,"E",,2018,0.0198,"E",,2018,0.1835032437,"E",,,,"",,,,"",,2018,1994.09502447,"E",,2018,278.2038089106,"E",,2018,47.9,"I",,2018,31.5,"I",,2018,72.5,"I",
"2018-2022","Gabon","Africa | Sub-Saharan Africa | Central Africa",2018,2119.275,"X",,2018,7.9174916875,"E",,2018,8219.383713,"X",,2018,8.241634583E8,"X",,2018,7.658751913E9,"X",,2018,7.397267119E9,"X",,2018,77384.9547604723,"E",,2018,166.0,"E",,2018,0.0403,"I",,2018,0.0141,"I",,2018,0.0847,"I",,2018,0.1391,"I",,2018,65.6356537023,"E",,2018,0.1391,"I",,2018,0.502166065,"E",,2018,95.1410628105,"E",,2018,0.2201955251,"E",,2018,477.1254223264,"E",,2018,76.7152243503,"E",,2018,93.2,"I",,2018,66.7,"I",,2018,97.2,"I",
"2018-2022","Sao Tome and Principe","Africa | Sub-Saharan Africa | Central Africa",2018,211.028,"X",,2018,219.8208333333,"E",,2018,1968.732492,"X",,2018,4.672566065E7,"X",,2018,5.46391306E7,"X",,2018,3.120123105E8,"X",,2018,10330.3826980306,"E",,2018,2.18,"",,2018,0.0256,"I",,2018,6.0E-4,"I",,2018,0.0147,"I",,2018,0.0409,"I",,2018,193.8131432796,"E",,2018,0.0409,"I",,2018,1.876146789,"I",,2018,7.8340391543,"I",,2018,0.2952733317,"E",,2018,77.7033496593,"E",,2018,18.1109656003,"E",,2018,97.1,"I",,2018,93.6,"I",,2018,98.9,"I",
"2018-2022","Burundi","Africa | Sub-Saharan Africa | Eastern Africa",2018,11175.374,"X",,2018,401.5585339562,"E",,2018,292.886814,"X",,2018,1.183559328E9,"X",,2018,5.156969044E8,"X",,2018,1.373647694E9,"X",,2018,900.1935863623,"E",,2018,12.536,"E",,2018,0.222,"I",,2018,0.015,"I",,2018,0.0431,"I",,2018,0.2801,"E",,2018,25.0640381253,"E",,2018,0.2801,"E",,2018,10.19286754,"E",,2018,6.7706265948,"I",,2018,0.0552728347,"E",,2018,34.2858503966,"E",,2018,31.7840877943,"E",,2018,75.9,"I",,2018,73.8,"I",,2018,91.1,"I",
"2018-2022","Ethiopia","Africa | Sub-Saharan Africa | Eastern Africa",2018,109224.414,"X",,2018,96.12773179,"E",,2018,746.664248,"X",,2018,2.5045974513E10,"X",,2018,2.1335922424E10,"X",,2018,2.9872754803E10,"X",,2018,1116.9663954434,"E",,2018,122.0,"E",,2018,9.687,"I",,2018,0.0511,"I",,2018,0.81,"I",,2018,10.5481,"E",,2018,96.5727314408,"E",,2018,10.5481,"E",,2018,32.2571865443,"E",,2018,4.8794391679,"E",,2018,0.0799711466,"E",,2018,413.3373543078,"E",,2018,36.5093740546,"E",,2018,57.3,"I",,2018,48.6,"I",,2018,93.1,"I",
"2018-2022","Kenya","Africa | Sub-Saharan Africa | Eastern Africa",2018,51392.565,"X",,2018,88.5513810156,"E",,2018,1725.302554,"X",,2018,3.0059065787E10,"X",,2018,1.2242189182E10,"X",,2018,3.9672217949E10,"X",,2018,402.7819977462,"E",,2018,30.7,"E",,2018,3.234,"I",,2018,0.303,"I",,2018,0.495,"I",,2018,4.032,"I",,2018,78.4549282566,"E",,2018,4.032,"I",,2018,33.2399010717,"E",,2018,11.267946111,"I",,2018,0.2382740065,"E",,2018,34.7587854567,"E",,2018,68.9492294724,"E",,2018,63.2,"I",,2018,56.8,"I",,2018,81.6,"I",
"2018-2022","Rwanda","Africa | Sub-Saharan Africa | Eastern Africa",2018,12301.97,"X",,2018,467.0451784358,"E",,2018,760.729801,"X",,2018,2.761605148E9,"X",,2018,1.386609145E9,"X",,2018,4.703322477E9,"X",,2018,772.2340405642,"E",,2018,13.3,"E",,2018,0.102,"I",,2018,0.0205,"I",,2018,0.0614,"I",,2018,0.1839,"E",,2018,14.9488252694,"E",,2018,0.1839,"E",,2018,6.0894039735,"E",,2018,35.1430955025,"I",,2018,0.1142893521,"E",,2018,71.6515260367,"E",,2018,81.144975004,"E",,2018,76.1,"I",,2018,71.9,"I",,2018,86.6,"I",
"2018-2022","Uganda","Africa | Sub-Saharan Africa | Eastern Africa",2018,42729.036,"X",,2018,176.8952018216,"E",,2018,679.86719,"X",,2018,6.525702468E9,"X",,2018,5.227072297E9,"X",,2018,1.5921305262E10,"X",,2018,912.728290898,"E",,2018,60.1,"E",,2018,0.259,"I",,2018,0.05,"I",,2018,0.328,"I",,2018,0.637,"I",,2018,14.907895418,"E",,2018,0.637,"I",,2018,5.8279963403,"E",,2018,32.4187129363,"I",,2018,0.0460026566,"E",,2018,102.022510164,"E",,2018,47.3709754396,"E",,2018,79.0,"I",,2018,75.8,"I",,2018,95.5,"I",
"2018-2022","United Republic of Tanzania","Africa | Sub-Saharan Africa | Eastern Africa",2018,56313.438,"X",,2018,59.446255674,"E",,2018,994.447217,"X",,2018,1.6484680412E10,"X",,2018,1.5202761895E10,"X",,2018,2.2445194528E10,"X",,2018,1491.6510691462,"E",,2018,96.27,"E",,2018,4.632,"I",,2018,0.025,"I",,2018,0.527,"I",,2018,5.184,"I",,2018,92.0561802673,"E",,2018,5.184,"I",,2018,12.9632408102,"E",,2018,7.5138816274,"E",,2018,0.1929819018,"E",,2018,614.7348586367,"E",,2018,43.0544567769,"E",,2018,55.6,"I",,2018,45.5,"I",,2018,77.2,"I",
"2018-2022","Botswana","Africa | Sub-Saharan Africa | Southern Africa",2018,2254.068,"X",,2018,3.8747666443,"E",,2018,7978.140216,"X",,2018,3.719930909E8,"X",,2018,5.238735558E9,"X",,2018,1.1298480349E10,"X",,2018,1064.7416138289,"E",,2018,12.24,"E",,2018,0.069,"I",,2018,0.0234,"I",,2018,0.1006,"I",,2018,0.193,"I",,2018,85.6229714454,"E",,2018,0.193,"I",,2018,2.0181951271,"E",,2018,74.275259199,"E",,2018,0.0890985332,"E",,2018,193.9828854691,"E",,2018,97.3138937041,"E",,2018,96.2,"I",,2018,92.3,"I",,2018,99.2,"I",
"2018-2022","Eswatini","Africa | Sub-Saharan Africa | Southern Africa",2018,1136.281,"X",,2018,65.4539746544,"E",,2018,3385.567253,"X",,2018,4.046549325E8,"X",,2018,1.495214325E9,"X",,2018,2.582073066E9,"X",,2018,2323.3689553904,"E",,2018,4.51,"E",,2018,1.006,"I",,2018,0.0207,"I",,2018,0.0413,"I",,2018,1.068,"E",,2018,939.9083501352,"E",,2018,1.068,"E",,2018,77.559912854,"E",,2018,3.5915651439,"I",,2018,0.1127547121,"E",,2018,65.9447446816,"E",,2018,57.0775815573,"E",,2018,74.1,"I",,2018,68.9,"I",,2018,93.6,"I",
"2018-2022","Lesotho","Africa | Sub-Saharan Africa | Southern Africa",2018,2108.328,"X",,2018,69.4442687747,"E",,2018,1162.716412,"X",,2018,1.424373279E8,"X",,2018,6.859044601E8,"X",,2018,1.553593993E9,"X",,2018,2480.6386862006,"E",,2018,3.022,"E",,2018,0.0038,"I",,2018,0.02,"I",,2018,0.02,"I",,2018,0.0438,"E",,2018,20.7747561101,"E",,2018,0.0438,"E",,2018,2.5659050967,"E",,2018,48.6175366283,"I",,2018,0.0158670645,"E",,2018,32.6090110439,"E",,2018,73.8603794297,"E",,2018,81.8,"I",,2018,77.0,"I",,2018,94.6,"I",
"2018-2022","Malawi","Africa | Sub-Saharan Africa | Southern Africa",2018,18143.217,"X",,2018,153.1331617151,"E",,2018,375.49037,"X",,2018,1.961225939E9,"X",,2018,9.207274637E8,"X",,2018,3.442670618E9,"X",,2018,889.5886545368,"E",,2018,17.28,"E",,2018,1.166,"I",,2018,0.0477,"I",,2018,0.1431,"I",,2018,1.3568,"I",,2018,74.7827686788,"E",,2018,1.3568,"I",,2018,17.5048380854,"E",,2018,3.26309941,"I",,2018,0.0351926644,"E",,2018,19.4039451847,"E",,2018,24.1842798563,"E",,2018,90.2,"I",,2018,89.1,"I",,2018,95.7,"I",
"2018-2022","Mozambique","Africa | Sub-Saharan Africa | Southern Africa",2018,29496.004,"X",,2018,36.8986014161,"E",,2018,482.063443,"X",,2018,3.608654961E9,"X",,2018,3.131404054E9,"X",,2018,6.44731084E9,"X",,2018,3400.4606183265,"E",,2018,217.1,"E",,2018,1.076,"I",,2018,0.025,"I",,2018,0.372,"I",,2018,1.473,"I",,2018,49.9389680039,"E",,2018,1.473,"I",,2018,1.7514863258,"E",,2018,7.8280181012,"I",,2018,0.0589851649,"E",,2018,149.9509910764,"E",,2018,20.7484619588,"E",,2018,51.1,"I",,2018,37.0,"I",,2018,80.6,"I",
"2018-2022","Namibia","Africa | Sub-Saharan Africa | Southern Africa",2018,2448.301,"X",,2018,2.9701937425,"E",,2018,5610.397958,"X",,2018,1.043389169E9,"X",,2018,3.840819932E9,"X",,2018,8.792826385E9,"X",,2018,2516.0305044192,"E",,2018,39.91,"E",,2018,0.201,"I",,2018,0.014,"I",,2018,0.073,"I",,2018,0.288,"E",,2018,117.6325950118,"E",,2018,0.2819,"I",,2018,0.8615525672,"E",,2018,36.8607745702,"I",,2018,0.0718876224,"E",,2018,230.2144692472,"E",,2018,101.0746725296,"E",,2018,91.0,"I",,2018,84.6,"I",,2018,98.2,"I",
"2018-2022","South Africa","Africa | Sub-Saharan Africa | Southern Africa",2018,57792.518,"X",,2018,47.406276813,"E",,2018,6412.962691,"X",,2018,8.009767261E9,"X",,2018,8.2628974876E10,"X",,2018,2.37046E11,"X",,2018,775.1868503117,"E",,2018,51.35,"E",,2018,11.496,"",,2018,4.25,"",,2018,4.104,"",,2018,19.85,"",,2018,343.4700664885,"E",,2018,19.85,"",,2018,63.5606788345,"E",,2018,14.3172531331,"I",,2018,0.1138900991,"E",,2018,17.2047995961,"E",,2018,51.1130106799,"E",,2018,93.2,"I",,2018,81.4,"I",,2018,99.6,"I",
"2018-2022","Zambia","Africa | Sub-Saharan Africa | Southern Africa",2018,17351.708,"X",,2018,23.0553779514,"E",,2018,1549.354235,"X",,2018,7.524280202E8,"X",,2018,8.150777646E9,"X",,2018,1.6293523274E10,"X",,2018,4622.0233766036,"E",,2018,104.8,"E",,2018,1.152,"I",,2018,0.13,"I",,2018,0.29,"I",,2018,1.572,"E",,2018,90.5962686786,"E",,2018,1.572,"I",,2018,2.8354978355,"E",,2018,13.4384242139,"I",,2018,0.0228628151,"E",,2018,54.1174298997,"E",,2018,48.4951690148,"E",,2018,65.4,"I",,2018,51.3,"I",,2018,85.6,"I",
"2018-2022","Zimbabwe","Africa | Sub-Saharan Africa | Southern Africa",2018,14438.802,"X",,2018,36.9505630054,"E",,2018,1437.425967,"X",,2018,2.019E9,"X",,2018,4.491068841E9,"X",,2018,1.5425514933E10,"X",,2018,849.1009157131,"E",,2018,20.0,"E",,2018,3.04107,"",,2018,0.08135,"",,2018,0.64896,"",,2018,3.77138,"",,2018,261.1975702693,"E",,2018,3.77138,"",,2018,35.4053698836,"E",,2018,4.8301757128,"I",,2018,0.042805095,"E",,2018,50.1332606816,"E",,2018,21.5851732509,"E",,2018,76.9,"I",,2018,67.3,"I",,2018,97.0,"I",
"2018-2022","Comoros","Africa | Sub-Saharan Africa | Indian Ocean Islands",2018,832.322,"X",,2018,447.2444922085,"E",,2018,1400.486121,"X",,2018,3.556085766E8,"X",,2018,1.314490337E8,"X",,2018,6.405729726E8,"X",,2018,1441.749707445,"E",,2018,1.2,"E",,2018,0.0047,"I",,2018,5.0E-4,"I",,2018,0.0048,"I",,2018,0.01,"I",,2018,12.0145808954,"E",,2018,0.01,"I",,2018,0.8333333333,"I",,2018,71.3370866669,"I",,2018,0.0901415875,"E",,2018,242.7812158543,"E",,2018,123.2409569335,"E",,2018,90.1,"I",,2018,89.1,"I",,2018,92.6,"I",
"2018-2022","Madagascar","Africa | Sub-Saharan Africa | Indian Ocean Islands",2018,26262.313,"X",,2018,44.7174128845,"E",,2018,527.386601,"X",,2018,3.301464007E9,"X",,2018,3.05301064E9,"X",,2018,6.747490974E9,"X",,2018,12832.0761389143,"E",,2018,337.0,"E",,2018,13.0,"I",,2018,0.1619,"I",,2018,0.395,"I",,2018,13.5569,"E",,2018,516.2111958684,"E",,2018,13.4575,"E",,2018,11.2615062762,"E",,2018,0.7652362587,"I",,2018,0.1060884201,"E",,2018,17.3076574082,"E",,2018,15.6784107333,"E",,2018,51.5,"I",,2018,35.3,"I",,2018,81.6,"I",
"2018-2022","Mauritius","Africa | Sub-Saharan Africa | Indian Ocean Islands",2018,1267.185,"X",,2018,621.1691176471,"E",,2018,11211.984184,"X",,2018,3.94908419E8,"X",,2018,2.2258796E9,"X",,2018,9.862779565E9,"X",,2018,2170.9537281455,"E",,2018,2.751,"E",,2018,0.304,"",,2018,0.011,"",,2018,0.281,"",,2018,0.596,"",,2018,470.3338502271,"E",,2018,0.591,"",,2018,21.4830970556,"E",,2018,18.9009064338,"E",,2018,0.3853756908,"E",,2018,186.603366755,"E",,2018,32.367078257,"E",,2018,99.9,"I",,2018,99.8,"I",,2018,99.9,"I",
"2018-2022","Seychelles","Africa | Sub-Saharan Africa | Indian Ocean Islands",2018,97.096,"X",,2018,211.0782608696,"E",,2018,16697.897464,"X",,2018,3.225218929E7,"X",,2018,1.438650732E8,"X",,2018,1.154310598E9,"X",,,,"",,2018,0.0,"E",,2018,9.0E-4,"I",,2018,0.0038,"I",,2018,0.009,"I",,2018,0.0137,"E",,2018,141.0974705446,"E",,2018,0.011294,"I",,,,"",,2018,93.7237443749,"I",,2018,8.1403361426,"E",,2018,37.2326050465,"E",,2018,126.1338995812,"E",,2018,95.7,"I",,2018,95.7,"I",,2018,95.7,"I",
"2018-2022","Belize","Americas | Central America and Caribbean | Central America",2018,383.071,"X",,2018,16.6770134959,"E",,2018,4892.75074,"X",,2018,1.78950496E8,"X",,2018,1.68514132E8,"X",,2018,1.280977131E9,"X",,2018,39835.9573029543,"E",,2018,21.734,"E",,2018,0.0684,"I",,2018,0.0212,"I",,2018,0.0114,"I",,2018,0.101,"I",,2018,263.6586951244,"E",,2018,0.101,"I",,2018,1.2602944847,"E",,2018,13.8456248761,"I",,2018,0.1268327183,"E",,2018,7.6210736446,"E",,2018,107.7338590604,"E",,2018,99.5,"I",,2018,100.0,"I",,2018,98.9,"I",
"2018-2022","Costa Rica","Americas | Central America and Caribbean | Central America",2018,4999.441,"X",,2018,97.8364187867,"E",,2018,12138.824794,"X",,2018,2.754312967E9,"X",,2018,1.0009469798E10,"X",,2018,4.2794082256E10,"X",,2018,22602.5269625144,"E",,2018,113.0,"E",,2018,2.302,"I",,2018,0.24,"I",,2018,0.6538691,"",,2018,3.1958691,"E",,2018,639.2452876232,"E",,2018,3.05353,"",,2018,5.2108020478,"E",,2018,16.879522789,"E",,2018,0.3707841562,"E",,2018,41.93331888,"E",,2018,65.8040021242,"E",,2018,97.8,"I",,2018,91.9,"I",,2018,99.6,"I",
"2018-2022","El Salvador","Americas | Central America and Caribbean | Central America",2018,6420.746,"X",,2018,305.1685361217,"E",,2018,4064.05821,"X",,2018,1.270759763E9,"X",,2018,5.65845521E9,"X",,2018,1.6669536845E10,"X",,2018,2434.296575507,"E",,2018,26.27,"E",,2018,1.431,"I",,2018,0.213,"I",,2018,0.474,"I",,2018,2.118,"I",,2018,329.8682115754,"E",,2018,2.118,"I",,2018,13.2127261385,"E",,2018,10.1911738069,"I",,2018,0.0458485287,"E",,2018,25.6033437594,"E",,2018,33.894060459,"E",,2018,93.8,"I",,2018,86.5,"I",,2018,97.5,"I",
"2018-2022","Guatemala","Americas | Central America and Caribbean | Central America",2018,17247.849,"X",,2018,158.3969969694,"E",,2018,4549.68037,"X",,2018,7.828058602E9,"X",,2018,1.7510358836E10,"X",,2018,5.1086050417E10,"X",,2018,6331.2242587467,"E",,2018,127.91,"E",,2018,1.886,"I",,2018,0.6031,"I",,2018,0.835,"I",,2018,3.3241,"I",,2018,192.7254813049,"E",,2018,3.3241,"I",,2018,5.7420970807,"E",,2018,19.8090859123,"I",,2018,1.1399487153,"E",,2018,26.9603985405,"E",,2018,56.8115243641,"E",,2018,92.8,"I",,2018,86.8,"I",,2018,98.4,"I",
"2018-2022","Honduras","Americas | Central America and Caribbean | Central America",2018,9587.522,"X",,2018,85.2299937772,"E",,2018,2545.336392,"X",,2018,2.825284176E9,"X",,2018,5.696031781E9,"X",,2018,1.4417057157E10,"X",,2018,9456.0408831396,"E",,2018,92.164,"E",,2018,1.178,"I",,2018,0.114,"I",,2018,0.315,"I",,2018,1.607,"I",,2018,167.6136962189,"E",,2018,1.607,"I",,2018,4.621268764,"E",,2018,12.4991320838,"I",,2018,0.2096727004,"E",,2018,49.284571134,"E",,2018,45.144983201,"E",,2018,91.2,"I",,2018,83.8,"I",,2018,97.4,"I",
"2018-2022","Nicaragua","Americas | Central America and Caribbean | Central America",2018,6465.501,"X",,2018,49.5934724246,"E",,2018,2087.250028,"X",,2018,2.027588866E9,"X",,2018,2.851344633E9,"X",,2018,7.11447967E9,"X",,2018,24160.5406912782,"E",,2018,164.52,"E",,2018,1.185,"I",,2018,0.0736,"I",,2018,0.286,"I",,2018,1.5446,"E",,2018,238.898733447,"E",,2018,1.5433,"E",,2018,2.6924284717,"E",,2018,6.7834976163,"I",,2018,0.2122915818,"E",,2018,39.7533755111,"E",,2018,25.5257918045,"E",,2018,87.0,"I",,2018,69.4,"I",,2018,99.3,"I",
"2018-2022","Panama","Americas | Central America and Caribbean | Central America",2018,4176.869,"X",,2018,55.4549787573,"E",,2018,15628.405118,"X",,2018,1.418405E9,"X",,2018,1.7924347546E10,"X",,2018,4.3416090825E10,"X",,2018,32703.9224835636,"E",,2018,139.304,"E",,2018,0.4461,"I",,2018,0.0062,"I",,2018,0.7591,"I",,2018,1.2114,"I",,2018,290.0258542942,"E",,2018,1.2114,"I",,2018,0.9010711098,"E",,2018,48.538184303,"I",,2018,0.2887374006,"E",,2018,2765.1804360952,"E",,2018,54.7045606724,"E",,2018,94.7,"I",,2018,88.6,"I",,2018,97.7,"I",
"2018-2022","Cuba","Americas | Central America and Caribbean | Greater Antilles",2018,11338.134,"X",,2018,103.1865125592,"E",,2018,8705.917496,"X",,2018,3.785E9,"X",,2018,2.3355E10,"X",,2018,7.1758E10,"X",,2018,3362.1052635292,"E",,2018,38.12,"E",,2018,4.519,"I",,2018,0.74,"I",,2018,1.7,"I",,2018,6.959,"I",,2018,613.7694262566,"E",,2018,6.958,"I",,2018,23.9394460692,"E",,2018,12.5990746811,"I",,2018,0.2013870558,"E",,2018,28.7913690244,"E",,2018,38.5066350134,"E",,2018,94.9,"I",,2018,89.8,"I",,2018,96.4,"I",
"2018-2022","Dominican Republic","Americas | Central America and Caribbean | Greater Antilles",2018,10627.141,"X",,2018,218.350955414,"E",,2018,7470.23939,"X",,2018,4.46654993E9,"X",,2018,2.1000509111E10,"X",,2018,4.9593011563E10,"X",,2018,2211.3191120735,"E",,2018,23.5,"E",,2018,7.563,"I",,2018,0.6599,"I",,2018,0.855,"I",,2018,9.0779,"E",,2018,854.2184581912,"E",,2018,7.137,"E",,2018,39.553314121,"E",,2018,7.8892566027,"I",,2018,0.1980263457,"E",,2018,31.6104047505,"E",,2018,57.6146235867,"E",,2018,84.7,"I",,2018,81.9,"I",,2018,85.4,"I",
"2018-2022","Haiti","Americas | Central America and Caribbean | Greater Antilles",2018,11123.178,"X",,2018,400.8352432432,"E",,2018,835.716025,"X",,2018,1.683684593E9,"X",,2018,2.804471895E9,"X",,2018,4.580616091E9,"X",,2018,1169.3600515968,"E",,2018,14.022,"E",,2018,1.209,"I",,2018,0.051,"I",,2018,0.19,"I",,2018,1.45,"I",,2018,130.3584281399,"E",,2018,1.45,"I",,2018,13.3837917667,"E",,2018,4.9442474063,"I",,2018,0.2057152204,"E",,2018,51.5299257829,"E",,2018,22.5916990668,"E",,2018,57.7,"I",,2018,47.6,"I",,2018,64.9,"I",
"2018-2022","Jamaica","Americas | Central America and Caribbean | Greater Antilles",2018,2934.847,"X",,2018,267.0470427662,"E",,2018,5421.064248,"X",,2018,1.036893186E9,"X",,2018,2.731953519E9,"X",,2018,9.772632535E9,"X",,2018,3687.756124936,"E",,2018,10.823,"E",,2018,0.114,"I",,2018,1.1,"I",,2018,0.14,"I",,2018,1.354,"I",,2018,461.3528405399,"E",,2018,1.35,"I",,2018,12.4734362007,"I",,2018,8.8409842987,"I",,2018,1.7291873763,"E",,2018,2.3384026854,"E",,2018,65.7237316114,"E",,2018,93.8,"I",,2018,89.4,"I",,2018,97.5,"I",
"2018-2022","Antigua and Barbuda","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",2018,96.286,"X",,2018,218.8318181818,"E",,2018,15629.054576,"X",,2018,2.787777778E7,"X",,2018,2.85537037E8,"X",,2018,1.11517037E9,"X",,2018,540.0577446358,"E",,2018,0.052,"",,2018,0.0018,"I",,2018,0.0025,"I",,2018,0.0072,"I",,2018,0.0115,"I",,2018,119.4358473714,"E",,2018,0.0044,"I",,2018,8.4615384615,"I",,2018,118.3303620556,"I",,2018,1.9361598052,"E",,2018,110.6764874948,"E",,2018,150.0865079519,"E",,2018,97.9,"I",,2018,97.9,"I",,2018,97.9,"I",
"2018-2022","Bahamas","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",2018,385.637,"X",,2018,27.7836455331,"E",,2018,31116.871408,"X",,2018,1.107E8,"X",,2018,1.2741E9,"X",,2018,9.5604E9,"X",,2018,1815.1785228077,"E",,2018,0.7,"E",,,,"",,,,"",,2018,0.031,"I",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2018,298.895134716,"E",,2018,98.4,"I",,2018,98.4,"I",,2018,98.4,"I",
"2018-2022","Barbados","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",2018,286.641,"X",,2018,666.6069767442,"E",,2018,17761.54481,"X",,2018,6.61303405E7,"X",,2018,5.479885385E8,"X",,2018,3.853895831E9,"X",,2018,279.0947561584,"E",,2018,0.08,"E",,2018,0.0548,"I",,2018,0.0062,"I",,2018,0.02,"I",,2018,0.081,"I",,2018,282.5834406104,"E",,2018,0.07,"I",,2018,87.5,"I",,2018,52.1815362461,"I",,2018,0.9049372973,"E",,2018,83.8720909321,"E",,2018,182.8553454133,"E",,2018,99.7,"I",,2018,99.7,"I",,2018,99.7,"I",
"2018-2022","Dominica","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",2018,71.625,"X",,2018,95.5,"E",,2018,7413.637732,"X",,2018,6.115555556E7,"X",,2018,7.400740741E7,"X",,2018,3.073333333E8,"X",,2018,2792.3211169284,"E",,2018,0.2,"E",,2018,0.001,"I",,2018,0.0,"I",,2018,0.019,"I",,2018,0.02,"I",,2018,279.2321116928,"E",,2018,0.02,"I",,2018,10.0,"I",,,,"",,2018,0.003445505,"E",,,,"",,2018,15.5323973447,"E",,2018,94.4,"I",,2018,91.8,"I",,2018,95.7,"I",
"2018-2022","Grenade","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",2018,111.454,"X",,2018,327.8058823529,"E",,2018,10787.400403,"X",,2018,6.152309704E7,"X",,2018,1.261031441E8,"X",,2018,8.021775889E8,"X",,2018,1794.462289375,"E",,2018,0.2,"E",,2018,0.0021,"I",,2018,0.0,"I",,2018,0.012,"I",,2018,0.0141,"I",,2018,126.5095914009,"E",,2018,0.0141,"I",,2018,7.05,"I",,,,"",,2018,2.51247426,"E",,,,"",,2018,64.3451077181,"E",,2018,96.6,"I",,2018,95.3,"I",,2018,99.0,"I",
"2018-2022","Saint Kitts and Nevis","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",2018,52.441,"X",,2018,201.6961538462,"E",,2018,18098.875957,"X",,2018,1.166666667E7,"X",,2018,2.535592593E8,"X",,2018,6.905222222E8,"X",,2018,457.6571766366,"E",,2018,0.024,"E",,2018,2.0E-4,"I",,2018,0.0,"I",,2018,0.0154,"I",,2018,0.0156,"I",,2018,297.4771648138,"E",,2018,0.0122,"I",,2018,50.8333333333,"I",,,,"",,2018,0.4798562222,"E",,,,"",,2018,42.4817907679,"E",,2018,98.3,"I",,2018,98.3,"I",,2018,98.3,"I",
"2018-2022","Saint Lucia","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",2018,181.889,"X",,2018,293.3693548387,"E",,2018,10696.723562,"X",,2018,2.97591937E7,"X",,2018,1.267938344E8,"X",,2018,1.511508377E9,"X",,2018,1649.3575752244,"E",,2018,0.3,"E",,2018,0.0304,"I",,2018,0.0,"I",,2018,0.0125,"I",,2018,0.0429,"I",,2018,235.8581332571,"E",,2018,0.0429,"I",,2018,14.3,"I",,,,"",,2018,0.0016722449,"E",,,,"",,2018,116.2676392377,"E",,2018,96.3,"I",,2018,95.6,"I",,2018,99.5,"I",
